experiment_id,model,pca_applied,hyperparameter_tuning,f1_score,accuracy,precision,recall,roc_auc
1,LogisticRegression,True,False,0.912621359223301,0.9021739130434783,0.9038461538461539,0.9215686274509803,0.8998087039693925
2,LogisticRegression,True,True,0.912621359223301,0.9021739130434783,0.9038461538461539,0.9215686274509803,0.8998087039693925
3,LogisticRegression,False,False,0.9004739336492891,0.8858695652173914,0.8715596330275229,0.9313725490196079,0.8803204208512673
4,LogisticRegression,False,True,0.9004739336492891,0.8858695652173914,0.8715596330275229,0.9313725490196079,0.8803204208512673
5,RandomForest,True,False,0.9029126213592233,0.8913043478260869,0.8942307692307693,0.9117647058823529,0.8888091822094691
6,RandomForest,True,True,0.9082125603864735,0.8967391304347826,0.8952380952380953,0.9215686274509803,0.8937111429937827
7,RandomForest,False,False,0.8878048780487805,0.875,0.883495145631068,0.8921568627450981,0.872907699665232
8,RandomForest,False,True,0.8975609756097561,0.8858695652173914,0.8932038834951457,0.9019607843137255,0.8839072214251554
9,GradientBoosting,True,False,0.8803827751196173,0.8641304347826086,0.8598130841121495,0.9019607843137255,0.8595169775227165
10,GradientBoosting,True,True,0.8962264150943396,0.8804347826086957,0.8636363636363636,0.9313725490196079,0.8742228598756576
11,GradientBoosting,False,False,0.8866995073891626,0.875,0.8910891089108911,0.8823529411764706,0.874103299856528
12,GradientBoosting,False,True,0.8985507246376812,0.8858695652173914,0.8857142857142857,0.9117647058823529,0.8827116212338593
13,SVM,True,False,0.919431279620853,0.907608695652174,0.8899082568807339,0.9509803921568627,0.9023194643711142
14,SVM,True,True,0.9038461538461539,0.8913043478260869,0.8867924528301887,0.9215686274509803,0.887613582018173
15,SVM,False,False,0.9150943396226415,0.9021739130434783,0.8818181818181818,0.9509803921568627,0.8962219033955046
16,SVM,False,True,0.9142857142857143,0.9021739130434783,0.8888888888888888,0.9411764705882353,0.8974175035868005
